N,GPU_SIEVE,CPU_SIEVE,CPU_CLASSIC
6600,0.000026,0.000088,0.007270
6610,0.000017,0.000139,0.006502
6620,0.000036,0.000091,0.006125
6630,0.000012,0.000090,0.006586
6640,0.000013,0.000140,0.006308
6650,0.000014,0.000089,0.006424
6660,0.000032,0.000123,0.006274
6670,0.000034,0.000215,0.006285
6680,0.000018,0.000094,0.007602
6690,0.000035,0.000093,0.006251
6700,0.000033,0.000091,0.006566
6710,0.000036,0.000094,0.006399
6720,0.000014,0.000093,0.006237
6730,0.000037,0.000091,0.006741
6740,0.000012,0.000093,0.006477
6750,0.000014,0.000186,0.008338
6760,0.000011,0.000093,0.007749
6770,0.000027,0.000119,0.007751
6780,0.000011,0.000094,0.006979
6790,0.000031,0.000092,0.006572
6800,0.000012,0.000135,0.006852
6810,0.000059,0.000092,0.007288
6820,0.000012,0.000110,0.007178
6830,0.000012,0.000094,0.006991
6840,0.000041,0.000093,0.007143
6850,0.000033,0.000094,0.007403
6860,0.000011,0.000100,0.006808
6870,0.000011,0.000095,0.007024
6880,0.000021,0.000095,0.007272
6890,0.000014,0.000096,0.006932
6900,0.000033,0.000094,0.006923
6910,0.000029,0.000096,0.007249
6920,0.000012,0.000096,0.006725
6930,0.000012,0.000094,0.007826
6940,0.000024,0.000117,0.007279
6950,0.000010,0.000097,0.007007
6960,0.000014,0.000090,0.007349
6970,0.000011,0.000099,0.007512
6980,0.000011,0.000098,0.008479
6990,0.000011,0.000101,0.006963
7000,0.000012,0.000095,0.007091
7010,0.000048,0.000095,0.006845
7020,0.000019,0.000095,0.007612
7030,0.000027,0.000095,0.007272
7040,0.000012,0.000103,0.006897
7050,0.000011,0.000098,0.007377
7060,0.000030,0.000100,0.007150
7070,0.000010,0.000100,0.007081
7080,0.000010,0.000100,0.007211
7090,0.000040,0.000113,0.007323
7100,0.000011,0.000110,0.007480
7110,0.000031,0.000096,0.007643
7120,0.000040,0.000100,0.007600
7130,0.000013,0.000100,0.007020
7140,0.000011,0.000101,0.008796
7150,0.000015,0.000101,0.008030
7160,0.000016,0.000113,0.007145
7170,0.000013,0.000125,0.007196
7180,0.000041,0.000101,0.007798
7190,0.000011,0.000091,0.007216
7200,0.000042,0.000101,0.007592
7210,0.000036,0.000106,0.007450
7220,0.000012,0.000124,0.007676
7230,0.000033,0.000094,0.007303
7240,0.000011,0.000112,0.007746
7250,0.000011,0.000100,0.007845
7260,0.000052,0.000101,0.007640
